2479,Albedo,18,17,16,75
9812,Aloy,14,15,13,62
1234,Barbara,16,16,17,72
4567,Diona,13,14,13,59
8901,Eula,17,16,15,68
2345,Fischl,15,15,16,70
6789,Gorou,18,19,20,90
5678,Hu Tao,20,20,20,100
1122,Jean,17,18,19,85
3456,Klee,19,18,17,80
7890,Lisa,16,15,14,65
4569,Mona,15,14,13,58
8902,Ningguang,16,17,16,73
6781,Noelle,20,20,19,95
1230,Oz,13,12,14,56
2311,Raiden Shogun,19,20,18,87
3422,Sara,14,13,15,58
1322,Shenhe,15,16,17,60
2211,Tartaglia,16,18,19,82
3122,Thoma,19,18,20,89
2310,Zhongli,17,16,15,72
